path,classname
project_folder/audio_speech_actors_01-24\Actor_03\03-01-04-01-02-01-03.wav,sad
project_folder/audio_speech_actors_01-24\Actor_03\03-01-04-01-02-02-03.wav,sad
project_folder/audio_speech_actors_01-24\Actor_03\03-01-04-02-01-01-03.wav,sad
project_folder/audio_speech_actors_01-24\Actor_03\03-01-04-02-01-02-03.wav,sad
project_folder/audio_speech_actors_01-24\Actor_03\03-01-04-02-02-01-03.wav,sad
project_folder/audio_speech_actors_01-24\Actor_03\03-01-04-02-02-02-03.wav,sad
project_folder/audio_speech_actors_01-24\Actor_03\03-01-05-01-01-01-03.wav,angry
project_folder/audio_speech_actors_01-24\Actor_03\03-01-05-01-01-02-03.wav,angry
project_folder/audio_speech_actors_01-24\Actor_03\03-01-05-01-02-01-03.wav,angry
project_folder/audio_speech_actors_01-24\Actor_03\03-01-05-01-02-02-03.wav,angry
project_folder/audio_speech_actors_01-24\Actor_03\03-01-05-02-01-01-03.wav,angry
project_folder/audio_speech_actors_01-24\Actor_03\03-01-05-02-01-02-03.wav,angry
project_folder/audio_speech_actors_01-24\Actor_03\03-01-05-02-02-01-03.wav,angry
project_folder/audio_speech_actors_01-24\Actor_03\03-01-05-02-02-02-03.wav,angry
project_folder/audio_speech_actors_01-24\Actor_03\03-01-06-01-01-01-03.wav,fear
project_folder/audio_speech_actors_01-24\Actor_03\03-01-06-01-01-02-03.wav,fear
project_folder/audio_speech_actors_01-24\Actor_03\03-01-06-01-02-01-03.wav,fear
project_folder/audio_speech_actors_01-24\Actor_03\03-01-06-01-02-02-03.wav,fear
project_folder/audio_speech_actors_01-24\Actor_03\03-01-06-02-01-01-03.wav,fear
project_folder/audio_speech_actors_01-24\Actor_03\03-01-06-02-01-02-03.wav,fear
project_folder/audio_speech_actors_01-24\Actor_03\03-01-06-02-02-01-03.wav,fear
project_folder/audio_speech_actors_01-24\Actor_03\03-01-06-02-02-02-03.wav,fear
project_folder/audio_speech_actors_01-24\Actor_03\03-01-07-01-01-01-03.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_03\03-01-07-01-01-02-03.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_03\03-01-07-01-02-01-03.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_03\03-01-07-01-02-02-03.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_03\03-01-07-02-01-01-03.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_03\03-01-07-02-01-02-03.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_03\03-01-07-02-02-01-03.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_03\03-01-07-02-02-02-03.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_03\03-01-08-01-01-01-03.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_03\03-01-08-01-01-02-03.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_03\03-01-08-01-02-01-03.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_03\03-01-08-01-02-02-03.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_03\03-01-08-02-01-01-03.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_03\03-01-08-02-01-02-03.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_03\03-01-08-02-02-01-03.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_03\03-01-08-02-02-02-03.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_04\03-01-01-01-01-01-04.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_04\03-01-01-01-01-02-04.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_04\03-01-01-01-02-01-04.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_04\03-01-01-01-02-02-04.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_04\03-01-02-01-01-01-04.wav,calm
project_folder/audio_speech_actors_01-24\Actor_04\03-01-02-01-01-02-04.wav,calm
project_folder/audio_speech_actors_01-24\Actor_04\03-01-02-01-02-01-04.wav,calm
project_folder/audio_speech_actors_01-24\Actor_04\03-01-02-01-02-02-04.wav,calm
project_folder/audio_speech_actors_01-24\Actor_04\03-01-02-02-01-01-04.wav,calm
project_folder/audio_speech_actors_01-24\Actor_04\03-01-02-02-01-02-04.wav,calm
project_folder/audio_speech_actors_01-24\Actor_04\03-01-02-02-02-01-04.wav,calm
project_folder/audio_speech_actors_01-24\Actor_04\03-01-02-02-02-02-04.wav,calm
project_folder/audio_speech_actors_01-24\Actor_04\03-01-03-01-01-01-04.wav,happy
project_folder/audio_speech_actors_01-24\Actor_04\03-01-03-01-01-02-04.wav,happy
project_folder/audio_speech_actors_01-24\Actor_04\03-01-03-01-02-01-04.wav,happy
project_folder/audio_speech_actors_01-24\Actor_04\03-01-03-01-02-02-04.wav,happy
project_folder/audio_speech_actors_01-24\Actor_04\03-01-03-02-01-01-04.wav,happy
project_folder/audio_speech_actors_01-24\Actor_04\03-01-03-02-01-02-04.wav,happy
project_folder/audio_speech_actors_01-24\Actor_04\03-01-03-02-02-01-04.wav,happy
project_folder/audio_speech_actors_01-24\Actor_04\03-01-03-02-02-02-04.wav,happy
project_folder/audio_speech_actors_01-24\Actor_04\03-01-04-01-01-01-04.wav,sad
project_folder/audio_speech_actors_01-24\Actor_04\03-01-04-01-01-02-04.wav,sad
project_folder/audio_speech_actors_01-24\Actor_04\03-01-04-01-02-01-04.wav,sad
project_folder/audio_speech_actors_01-24\Actor_04\03-01-04-01-02-02-04.wav,sad
project_folder/audio_speech_actors_01-24\Actor_04\03-01-04-02-01-01-04.wav,sad
project_folder/audio_speech_actors_01-24\Actor_04\03-01-04-02-01-02-04.wav,sad
project_folder/audio_speech_actors_01-24\Actor_04\03-01-04-02-02-01-04.wav,sad
project_folder/audio_speech_actors_01-24\Actor_04\03-01-04-02-02-02-04.wav,sad
project_folder/audio_speech_actors_01-24\Actor_04\03-01-05-01-01-01-04.wav,angry
project_folder/audio_speech_actors_01-24\Actor_04\03-01-05-01-01-02-04.wav,angry
project_folder/audio_speech_actors_01-24\Actor_04\03-01-05-01-02-01-04.wav,angry
project_folder/audio_speech_actors_01-24\Actor_04\03-01-05-01-02-02-04.wav,angry
project_folder/audio_speech_actors_01-24\Actor_04\03-01-05-02-01-01-04.wav,angry
project_folder/audio_speech_actors_01-24\Actor_04\03-01-05-02-01-02-04.wav,angry
project_folder/audio_speech_actors_01-24\Actor_04\03-01-05-02-02-01-04.wav,angry
project_folder/audio_speech_actors_01-24\Actor_04\03-01-05-02-02-02-04.wav,angry
project_folder/audio_speech_actors_01-24\Actor_04\03-01-06-01-01-01-04.wav,fear
project_folder/audio_speech_actors_01-24\Actor_04\03-01-06-01-01-02-04.wav,fear
project_folder/audio_speech_actors_01-24\Actor_04\03-01-06-01-02-01-04.wav,fear
project_folder/audio_speech_actors_01-24\Actor_04\03-01-06-01-02-02-04.wav,fear
project_folder/audio_speech_actors_01-24\Actor_04\03-01-06-02-01-01-04.wav,fear
project_folder/audio_speech_actors_01-24\Actor_04\03-01-06-02-01-02-04.wav,fear
project_folder/audio_speech_actors_01-24\Actor_04\03-01-06-02-02-01-04.wav,fear
project_folder/audio_speech_actors_01-24\Actor_04\03-01-06-02-02-02-04.wav,fear
project_folder/audio_speech_actors_01-24\Actor_04\03-01-07-01-01-01-04.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_04\03-01-07-01-01-02-04.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_04\03-01-07-01-02-01-04.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_04\03-01-07-01-02-02-04.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_04\03-01-07-02-01-01-04.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_04\03-01-07-02-01-02-04.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_04\03-01-07-02-02-01-04.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_04\03-01-07-02-02-02-04.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_04\03-01-08-01-01-01-04.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_04\03-01-08-01-01-02-04.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_04\03-01-08-01-02-01-04.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_04\03-01-08-01-02-02-04.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_04\03-01-08-02-01-01-04.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_04\03-01-08-02-01-02-04.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_04\03-01-08-02-02-01-04.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_04\03-01-08-02-02-02-04.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_05\03-01-01-01-01-01-05.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_05\03-01-01-01-01-02-05.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_05\03-01-01-01-02-01-05.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_05\03-01-01-01-02-02-05.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_05\03-01-02-01-01-01-05.wav,calm
project_folder/audio_speech_actors_01-24\Actor_05\03-01-02-01-01-02-05.wav,calm
project_folder/audio_speech_actors_01-24\Actor_05\03-01-02-01-02-01-05.wav,calm
project_folder/audio_speech_actors_01-24\Actor_05\03-01-02-01-02-02-05.wav,calm
project_folder/audio_speech_actors_01-24\Actor_05\03-01-02-02-01-01-05.wav,calm
project_folder/audio_speech_actors_01-24\Actor_05\03-01-02-02-01-02-05.wav,calm
project_folder/audio_speech_actors_01-24\Actor_05\03-01-02-02-02-01-05.wav,calm
project_folder/audio_speech_actors_01-24\Actor_05\03-01-02-02-02-02-05.wav,calm
project_folder/audio_speech_actors_01-24\Actor_05\03-01-03-01-01-01-05.wav,happy
project_folder/audio_speech_actors_01-24\Actor_05\03-01-03-01-01-02-05.wav,happy
project_folder/audio_speech_actors_01-24\Actor_05\03-01-03-01-02-01-05.wav,happy
project_folder/audio_speech_actors_01-24\Actor_05\03-01-03-01-02-02-05.wav,happy
project_folder/audio_speech_actors_01-24\Actor_05\03-01-03-02-01-01-05.wav,happy
project_folder/audio_speech_actors_01-24\Actor_05\03-01-03-02-01-02-05.wav,happy
project_folder/audio_speech_actors_01-24\Actor_05\03-01-03-02-02-01-05.wav,happy
project_folder/audio_speech_actors_01-24\Actor_05\03-01-03-02-02-02-05.wav,happy
project_folder/audio_speech_actors_01-24\Actor_05\03-01-04-01-01-01-05.wav,sad
project_folder/audio_speech_actors_01-24\Actor_05\03-01-04-01-01-02-05.wav,sad
project_folder/audio_speech_actors_01-24\Actor_05\03-01-04-01-02-01-05.wav,sad
project_folder/audio_speech_actors_01-24\Actor_05\03-01-04-01-02-02-05.wav,sad
project_folder/audio_speech_actors_01-24\Actor_05\03-01-04-02-01-01-05.wav,sad
project_folder/audio_speech_actors_01-24\Actor_05\03-01-04-02-01-02-05.wav,sad
project_folder/audio_speech_actors_01-24\Actor_05\03-01-04-02-02-01-05.wav,sad
project_folder/audio_speech_actors_01-24\Actor_05\03-01-04-02-02-02-05.wav,sad
project_folder/audio_speech_actors_01-24\Actor_05\03-01-05-01-01-01-05.wav,angry
project_folder/audio_speech_actors_01-24\Actor_05\03-01-05-01-01-02-05.wav,angry
project_folder/audio_speech_actors_01-24\Actor_05\03-01-05-01-02-01-05.wav,angry
project_folder/audio_speech_actors_01-24\Actor_05\03-01-05-01-02-02-05.wav,angry
project_folder/audio_speech_actors_01-24\Actor_05\03-01-05-02-01-01-05.wav,angry
project_folder/audio_speech_actors_01-24\Actor_05\03-01-05-02-01-02-05.wav,angry
project_folder/audio_speech_actors_01-24\Actor_05\03-01-05-02-02-01-05.wav,angry
project_folder/audio_speech_actors_01-24\Actor_05\03-01-05-02-02-02-05.wav,angry
project_folder/audio_speech_actors_01-24\Actor_05\03-01-06-01-01-01-05.wav,fear
project_folder/audio_speech_actors_01-24\Actor_05\03-01-06-01-01-02-05.wav,fear
project_folder/audio_speech_actors_01-24\Actor_05\03-01-06-01-02-01-05.wav,fear
project_folder/audio_speech_actors_01-24\Actor_05\03-01-06-01-02-02-05.wav,fear
project_folder/audio_speech_actors_01-24\Actor_05\03-01-06-02-01-01-05.wav,fear
project_folder/audio_speech_actors_01-24\Actor_05\03-01-06-02-01-02-05.wav,fear
project_folder/audio_speech_actors_01-24\Actor_05\03-01-06-02-02-01-05.wav,fear
project_folder/audio_speech_actors_01-24\Actor_05\03-01-06-02-02-02-05.wav,fear
project_folder/audio_speech_actors_01-24\Actor_05\03-01-07-01-01-01-05.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_05\03-01-07-01-01-02-05.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_05\03-01-07-01-02-01-05.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_05\03-01-07-01-02-02-05.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_05\03-01-07-02-01-01-05.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_05\03-01-07-02-01-02-05.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_05\03-01-07-02-02-01-05.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_05\03-01-07-02-02-02-05.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_05\03-01-08-01-01-01-05.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_05\03-01-08-01-01-02-05.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_05\03-01-08-01-02-01-05.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_05\03-01-08-01-02-02-05.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_05\03-01-08-02-01-01-05.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_05\03-01-08-02-01-02-05.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_05\03-01-08-02-02-01-05.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_05\03-01-08-02-02-02-05.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_06\03-01-01-01-01-01-06.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_06\03-01-01-01-01-02-06.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_06\03-01-01-01-02-01-06.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_06\03-01-01-01-02-02-06.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_06\03-01-02-01-01-01-06.wav,calm
project_folder/audio_speech_actors_01-24\Actor_06\03-01-02-01-01-02-06.wav,calm
project_folder/audio_speech_actors_01-24\Actor_06\03-01-02-01-02-01-06.wav,calm
project_folder/audio_speech_actors_01-24\Actor_06\03-01-02-01-02-02-06.wav,calm
project_folder/audio_speech_actors_01-24\Actor_06\03-01-02-02-01-01-06.wav,calm
project_folder/audio_speech_actors_01-24\Actor_06\03-01-02-02-01-02-06.wav,calm
project_folder/audio_speech_actors_01-24\Actor_06\03-01-02-02-02-01-06.wav,calm
project_folder/audio_speech_actors_01-24\Actor_06\03-01-02-02-02-02-06.wav,calm
project_folder/audio_speech_actors_01-24\Actor_06\03-01-03-01-01-01-06.wav,happy
project_folder/audio_speech_actors_01-24\Actor_06\03-01-03-01-01-02-06.wav,happy
project_folder/audio_speech_actors_01-24\Actor_06\03-01-03-01-02-01-06.wav,happy
